"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"02.12.2025","14,92","14,75","15,02","14,72","30,60K","1,08%"
"01.12.2025","14,76","15,20","15,20","14,73","82,27K","-2,96%"
"28.11.2025","15,21","15,11","15,29","15,08","51,46K","0,46%"
"26.11.2025","15,14","14,90","15,19","14,86","65,89K","1,54%"
"25.11.2025","14,91","14,84","14,97","14,79","41,11K","0,61%"
"24.11.2025","14,82","14,80","14,96","14,70","38,83K","0,27%"
"21.11.2025","14,78","14,72","14,83","14,56","38,91K","0,82%"
"20.11.2025","14,66","14,69","14,80","14,58","39,30K","0,00%"
"19.11.2025","14,66","14,65","15,05","14,62","62,10K","-0,27%"
"18.11.2025","14,70","14,80","14,88","14,63","50,48K","-0,68%"
"17.11.2025","14,80","14,86","14,94","14,65","53,27K","-1,07%"
"14.11.2025","14,96","14,44","15,05","14,35","80,72K","3,60%"
"13.11.2025","14,44","14,53","14,77","14,37","47,40K","-0,55%"
"12.11.2025","14,52","14,27","14,57","14,18","49,53K","1,89%"
"11.11.2025","14,25","14,27","14,48","14,17","36,60K","0,35%"
"10.11.2025","14,20","14,17","14,42","14,08","55,84K","0,71%"
"07.11.2025","14,10","14,20","14,37","14,07","46,72K","-0,63%"
"06.11.2025","14,19","14,08","14,44","14,04","53,61K","0,57%"
"05.11.2025","14,11","14,22","14,32","14,05","50,62K","-0,77%"
"04.11.2025","14,22","14,65","14,72","14,13","60,34K","-2,94%"
"03.11.2025","14,65","14,49","14,73","14,36","71,59K","1,52%"
"31.10.2025","14,43","14,40","14,49","14,20","62,05K","1,05%"
"30.10.2025","14,28","14,35","14,42","14,07","68,65K","-0,97%"
"29.10.2025","14,42","14,40","14,56","14,21","61,87K","0,35%"
"28.10.2025","14,37","14,50","14,59","14,28","65,66K","-0,62%"
"27.10.2025","14,46","15,01","15,04","14,34","84,18K","-3,41%"
"24.10.2025","14,97","15,20","15,34","14,93","56,32K","-2,09%"
"23.10.2025","15,29","15,25","15,44","15,18","44,72K","1,26%"
